"","id","site","biomass","weight_per_m2","index","value"
"1","NG12","natural","A_per_m2",46.4590962767808,"ndvi",0.518170131353352
"2","NG12","natural","A_per_m2",46.4590962767808,"mND_B5B6",0.334520931305063
"3","NG12","natural","B_per_m2",31.7461059820634,"ndvi",0.518170131353352
"4","NG12","natural","B_per_m2",31.7461059820634,"mND_B5B6",0.334520931305063
"5","NG15","natural","A_per_m2",85.8446395272552,"ndvi",0.482114378765658
"6","NG15","natural","A_per_m2",85.8446395272552,"mND_B5B6",0.283485901356754
"7","NG15","natural","B_per_m2",45.8932120346763,"ndvi",0.482114378765658
"8","NG15","natural","B_per_m2",45.8932120346763,"mND_B5B6",0.283485901356754
"9","NG16","natural","A_per_m2",58.8519611788697,"ndvi",0.526007543986397
"10","NG16","natural","A_per_m2",58.8519611788697,"mND_B5B6",0.345336918056323
"11","NG16","natural","B_per_m2",92.9181925535617,"ndvi",0.526007543986397
"12","NG16","natural","B_per_m2",92.9181925535617,"mND_B5B6",0.345336918056323
"13","NG18","natural","A_per_m2",77.9788485620024,"ndvi",0.651683132505651
"14","NG18","natural","A_per_m2",77.9788485620024,"mND_B5B6",0.399785840464939
"15","NG18","natural","B_per_m2",52.5706460915096,"ndvi",0.651683132505651
"16","NG18","natural","B_per_m2",52.5706460915096,"mND_B5B6",0.399785840464939
"17","NG25","natural","A_per_m2",42.6676718546806,"ndvi",0.544288228702572
"18","NG25","natural","A_per_m2",42.6676718546806,"mND_B5B6",0.401215876346146
"19","NG25","natural","B_per_m2",32.9344628904829,"ndvi",0.544288228702572
"20","NG25","natural","B_per_m2",32.9344628904829,"mND_B5B6",0.401215876346146
"21","NG30","natural","A_per_m2",0,"ndvi",0.0874450100805935
"22","NG30","natural","A_per_m2",0,"mND_B5B6",0.0585558081102637
"23","NG30","natural","B_per_m2",0,"ndvi",0.0874450100805935
"24","NG30","natural","B_per_m2",0,"mND_B5B6",0.0585558081102637
"25","NG31","natural","A_per_m2",0,"ndvi",0.0860860795082914
"26","NG31","natural","A_per_m2",0,"mND_B5B6",0.0692346542431823
"27","NG31","natural","B_per_m2",0,"ndvi",0.0860860795082914
"28","NG31","natural","B_per_m2",0,"mND_B5B6",0.0692346542431823
"29","NG32","natural","A_per_m2",0,"ndvi",0.0957129402011195
"30","NG32","natural","A_per_m2",0,"mND_B5B6",0.09463015981215
"31","NG32","natural","B_per_m2",0,"ndvi",0.0957129402011195
"32","NG32","natural","B_per_m2",0,"mND_B5B6",0.09463015981215
"33","NR43","natural","A_per_m2",42.4413181578388,"ndvi",0.0697154993627361
"34","NR43","natural","A_per_m2",42.4413181578388,"mND_B5B6",0.0961643492012132
"35","NR43","natural","B_per_m2",19.5230063526058,"ndvi",0.0697154993627361
"36","NR43","natural","B_per_m2",19.5230063526058,"mND_B5B6",0.0961643492012132
"37","NR44","natural","A_per_m2",0,"ndvi",0.514887165833456
"38","NR44","natural","A_per_m2",0,"mND_B5B6",0.388647925174837
"39","NR44","natural","B_per_m2",7.07355302630646,"ndvi",0.514887165833456
"40","NR44","natural","B_per_m2",7.07355302630646,"mND_B5B6",0.388647925174837
"41","NR52","natural","A_per_m2",149.959324157697,"ndvi",0.649608546386319
"42","NR52","natural","A_per_m2",149.959324157697,"mND_B5B6",0.47447651166645
"43","NR52","natural","B_per_m2",64.9069225693881,"ndvi",0.649608546386319
"44","NR52","natural","B_per_m2",64.9069225693881,"mND_B5B6",0.47447651166645
"45","RG12","rewilded","A_per_m2",152.505803247167,"ndvi",0.463951545582352
"46","RG12","rewilded","A_per_m2",152.505803247167,"mND_B5B6",0.420730531162783
"47","RG12","rewilded","B_per_m2",65.6425720841239,"ndvi",0.463951545582352
"48","RG12","rewilded","B_per_m2",65.6425720841239,"mND_B5B6",0.420730531162783
"49","RG13","rewilded","A_per_m2",157.88170354716,"ndvi",0.435891939200305
"50","RG13","rewilded","A_per_m2",157.88170354716,"mND_B5B6",0.361767004968482
"51","RG13","rewilded","B_per_m2",50.2505206988811,"ndvi",0.435891939200305
"52","RG13","rewilded","B_per_m2",50.2505206988811,"mND_B5B6",0.361767004968482
"53","RG16","rewilded","A_per_m2",36.4995336157413,"ndvi",0.332248541161724
"54","RG16","rewilded","A_per_m2",36.4995336157413,"mND_B5B6",0.271738389726074
"55","RG16","rewilded","B_per_m2",34.3491734957442,"ndvi",0.332248541161724
"56","RG16","rewilded","B_per_m2",34.3491734957442,"mND_B5B6",0.271738389726074
"57","RG22","rewilded","A_per_m2",12.902160719983,"ndvi",0.169383598375191
"58","RG22","rewilded","A_per_m2",12.902160719983,"mND_B5B6",0.162847803343595
"59","RG22","rewilded","B_per_m2",10.8083890241963,"ndvi",0.169383598375191
"60","RG22","rewilded","B_per_m2",10.8083890241963,"mND_B5B6",0.162847803343595
"61","RG23","rewilded","A_per_m2",0,"ndvi",0.0925515869448509
"62","RG23","rewilded","A_per_m2",0,"mND_B5B6",0.081823230622712
"63","RG23","rewilded","B_per_m2",0,"ndvi",0.0925515869448509
"64","RG23","rewilded","B_per_m2",0,"mND_B5B6",0.081823230622712
"65","RG5","rewilded","A_per_m2",126.58830495878,"ndvi",0.43463664628967
"66","RG5","rewilded","A_per_m2",126.58830495878,"mND_B5B6",0.344806758038144
"67","RG5","rewilded","B_per_m2",53.8155914241395,"ndvi",0.43463664628967
"68","RG5","rewilded","B_per_m2",53.8155914241395,"mND_B5B6",0.344806758038144
"69","RG6","rewilded","A_per_m2",0,"ndvi",0.0847575219109795
"70","RG6","rewilded","A_per_m2",0,"mND_B5B6",0.0823134835678903
"71","RG6","rewilded","B_per_m2",0,"ndvi",0.0847575219109795
"72","RG6","rewilded","B_per_m2",0,"mND_B5B6",0.0823134835678903
"73","RG7","rewilded","A_per_m2",0,"ndvi",0.0794802464488097
"74","RG7","rewilded","A_per_m2",0,"mND_B5B6",0.0796988646510436
"75","RG7","rewilded","B_per_m2",0,"ndvi",0.0794802464488097
"76","RG7","rewilded","B_per_m2",0,"mND_B5B6",0.0796988646510436
"77","RG8","rewilded","A_per_m2",0,"ndvi",0.0736300732269489
"78","RG8","rewilded","A_per_m2",0,"mND_B5B6",0.0861232777225727
"79","RG8","rewilded","B_per_m2",0,"ndvi",0.0736300732269489
"80","RG8","rewilded","B_per_m2",0,"mND_B5B6",0.0861232777225727
"81","RR36","rewilded","A_per_m2",119.571340356684,"ndvi",0.436813611364623
"82","RR36","rewilded","A_per_m2",119.571340356684,"mND_B5B6",0.40120175840205
"83","RR36","rewilded","B_per_m2",38.1971863420549,"ndvi",0.436813611364623
"84","RR36","rewilded","B_per_m2",38.1971863420549,"mND_B5B6",0.40120175840205
"85","RR45","rewilded","A_per_m2",73.2254209283245,"ndvi",0.219167393769258
"86","RR45","rewilded","A_per_m2",73.2254209283245,"mND_B5B6",0.205516428888467
"87","RR45","rewilded","B_per_m2",25.6911445915451,"ndvi",0.219167393769258
"88","RR45","rewilded","B_per_m2",25.6911445915451,"mND_B5B6",0.205516428888467
"89","RR46","rewilded","A_per_m2",11.8269806599844,"ndvi",0.257680660173923
"90","RR46","rewilded","A_per_m2",11.8269806599844,"mND_B5B6",0.232756202200094
"91","RR46","rewilded","B_per_m2",14.033929204192,"ndvi",0.257680660173923
"92","RR46","rewilded","B_per_m2",14.033929204192,"mND_B5B6",0.232756202200094
